"siteid","longitude","latitude"
"010730023",-86.815,33.5530560008695
"010731005",-87.003611,33.3311110008666
"010731009",-87.305556,33.4597220008683
"010731010",-86.549167,33.5452780008694
"010732003",-86.924167,33.4997220008688
"010732006",-86.816667,33.3863890008674
"010735002",-86.669167,33.7047220008714
"010735003",-86.9425,33.8016670008726
"010890014",-86.58637,34.68767
"010970003",-88.0875263893214,30.7699408526854
"011030011",-86.9769391461817,34.5187352636935
"011190002",-88.2018646516965,32.3640099414049
"040130019",-112.14257,33.4838500008686
"040134010",-112.34184,33.6371300008706
"040138005",-112.372777,33.383333
"040139812",-112.11814,33.4265000008679
"040139997",-112.095809,33.503731
"040139998",-111.996111,33.455277
"040191030",-110.99644,31.87952
"040191032",-110.980112,32.1729890008509
"040191034",-111.12716,32.38082
"040191113",-110.965293,32.251843000852
"050350005",-90.1931407655994,35.1972876317392
"051190007",-92.2812958643647,34.7561888042723
"051191008",-92.328697163421,34.6813433627688
"051390006",-92.669618663855,33.2202735404393
"051430005",-94.1168273808054,36.1797000452413
"060010007",-121.7842,37.6875
"060012004",-122.3013,37.8778
"060070002",-121.842222,39.7575
"060070007",-121.617778,39.714167
"060074001",-121.668611,39.321667
"060111002",-122.016667,39.203056
"060190008",-119.772222,36.781389
"060195001",-119.716389,36.819167
"060210002",-122.190278,39.517778
"060250005",-115.483333,32.676111
"060250006",-115.389722,32.677778
"060271023",-118.416539,37.362194
"060290010",-119.014722,35.385556
"060290014",-119.040278,35.356111
"060310004",-119.565833,36.101389
"060370016",-117.85036,34.14435
"060371002",-118.31712,34.17605
"060371103",-118.22688,34.06659
"060376012",-118.5284,34.38344
"060410003",-122.913889,38.126944
"060431001",-119.602778,37.745833
"060550003",-122.294722,38.310833
"060570005",-121.055556,39.234444
"060571001",-120.170278,39.338611
"060590007",-117.93845,33.83062
"060610002",-121.103889,38.937778
"060610006",-121.265278,38.745833
"060650012",-116.85841,33.92086
"060658001",-117.41601,33.99958
"060658005",-117.493304,33.995638
"060659001",-117.33098,33.67649
"060670006",-121.366944,38.614167
"060670010",-121.491944,38.558333
"060670011",-121.422222,38.301944
"060670012",-121.162778,38.683889
"060675003",-121.21,38.494444
"060730003",-116.942092,32.791194
"060731002",-117.075325,33.127711
"060731006",-116.768325,32.842297
"060731008",-117.396158,33.217025
"060731010",-117.149653,32.701492
